,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
16,"[611, -124, 364, 551]",0.01,0.0,0.03,0.06,0.14,0.64,0.11,"[258, 628, 74, 84]",0.19,0.0,0.11,0.28,0.38,0.01,0.03,"[272, 370, 42, 58]",0.04,0.0,0.24,0.04,0.51,0.02,0.16,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
17,"[568, -133, 361, 561]",0.01,0.0,0.04,0.02,0.07,0.81,0.04,"[226, 614, 72, 82]",0.1,0.0,0.21,0.22,0.43,0.01,0.02,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
18,"[567, -113, 354, 532]",0.08,0.0,0.05,0.01,0.33,0.2,0.33,"[248, 362, 40, 54]",0.07,0.0,0.21,0.05,0.58,0.0,0.08,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
19,"[564, -92, 352, 512]",0.02,0.0,0.03,0.01,0.53,0.02,0.39,"[255, 359, 39, 59]",0.02,0.0,0.05,0.04,0.7,0.01,0.19,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
20,"[569, -74, 349, 511]",0.01,0.0,0.01,0.0,0.65,0.01,0.32,"[282, 361, 35, 49]",0.04,0.0,0.06,0.03,0.65,0.01,0.2,"[267, 297, 28, 31]",0.21,0.0,0.11,0.1,0.41,0.0,0.18,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
21,"[582, -84, 355, 523]",0.02,0.0,0.01,0.0,0.29,0.0,0.68,"[316, 452, 33, 38]",0.03,0.0,0.1,0.22,0.62,0.0,0.03,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
22,"[581, -83, 347, 535]",0.01,0.0,0.01,0.0,0.48,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
23,"[582, -70, 356, 529]",0.01,0.0,0.01,0.0,0.34,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
24,"[603, -72, 349, 552]",0.0,0.0,0.01,0.0,0.55,0.0,0.43,"[366, 141, 33, 42]",0.01,0.0,0.3,0.03,0.55,0.01,0.1,"[339, 135, 28, 36]",0.05,0.0,0.12,0.02,0.62,0.0,0.18,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
25,"[605, -42, 357, 534]",0.02,0.0,0.02,0.0,0.49,0.0,0.48,"[363, 145, 36, 46]",0.01,0.0,0.32,0.05,0.51,0.01,0.1,"[790, 552, 19, 20]",0.0,0.0,0.0,0.87,0.03,0.0,0.09,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
26,"[603, -51, 361, 557]",0.0,0.0,0.03,0.0,0.62,0.0,0.35,"[358, 137, 41, 53]",0.05,0.0,0.51,0.02,0.31,0.0,0.12,"[344, 291, 40, 45]",0.41,0.02,0.12,0.15,0.21,0.0,0.09,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
27,"[602, -84, 382, 561]",0.1,0.0,0.01,0.01,0.23,0.01,0.64,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
28,"[584, -80, 378, 545]",0.1,0.0,0.02,0.01,0.31,0.02,0.54,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
29,"[582, -91, 362, 530]",0.07,0.0,0.02,0.0,0.34,0.05,0.52,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
30,"[600, -88, 359, 529]",0.06,0.0,0.03,0.0,0.3,0.07,0.53,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
31,"[632, -74, 345, 511]",0.08,0.0,0.03,0.01,0.21,0.11,0.56,"[406, 403, 36, 54]",0.03,0.0,0.1,0.01,0.73,0.01,0.12,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
32,"[630, -106, 354, 529]",0.05,0.0,0.03,0.01,0.17,0.19,0.55,"[421, 405, 34, 47]",0.07,0.0,0.07,0.01,0.73,0.0,0.12,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
33,"[651, -72, 338, 497]",0.06,0.0,0.03,0.02,0.09,0.31,0.49,"[433, 405, 36, 50]",0.03,0.0,0.13,0.0,0.65,0.01,0.18,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
34,"[635, -138, 363, 552]",0.08,0.0,0.12,0.02,0.32,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
35,"[630, -121, 359, 530]",0.07,0.0,0.12,0.04,0.32,0.21,0.23,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
36,"[600, -138, 365, 548]",0.05,0.0,0.09,0.02,0.26,0.3,0.28,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
37,"[622, -91, 347, 494]",0.02,0.0,0.11,0.01,0.13,0.29,0.44,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
38,"[631, -117, 355, 512]",0.02,0.0,0.11,0.01,0.22,0.5,0.14,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
39,"[617, -175, 375, 569]",0.05,0.0,0.11,0.01,0.27,0.42,0.14,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
40,"[676, -98, 350, 490]",0.04,0.0,0.07,0.01,0.09,0.62,0.17,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
41,"[668, -90, 350, 491]",0.12,0.0,0.07,0.02,0.09,0.25,0.45,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
42,"[660, -96, 364, 514]",0.06,0.0,0.07,0.01,0.09,0.3,0.46,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
43,"[640, -92, 348, 510]",0.04,0.0,0.04,0.01,0.05,0.24,0.62,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
44,"[618, -82, 363, 499]",0.07,0.0,0.05,0.01,0.15,0.04,0.68,,,,,,,,,,,,,,,,,,,,,,,,,video_0911,133,3,50,44,29.833,4.458150370395201,2025-01-29T20:58:30.621196
