,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,video_id,total_frames,sampling_freq,target_frames,actual_frames,fps,duration,timestamp
10,"[517, 72, 219, 295]",0.05,0.0,0.03,0.25,0.07,0.0,0.59,"[390, 456, 59, 64]",0.97,0.0,0.02,0.0,0.0,0.0,0.02,"[358, 396, 54, 58]",0.03,0.0,0.04,0.07,0.05,0.7,0.11,"[457, 511, 22, 29]",0.0,0.0,0.0,0.01,0.1,0.01,0.87,"[414, 539, 19, 20]",0.22,0.0,0.07,0.01,0.37,0.0,0.33,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
11,"[513, 73, 221, 296]",0.03,0.0,0.03,0.13,0.08,0.0,0.73,"[357, 395, 55, 60]",0.01,0.0,0.03,0.04,0.03,0.82,0.07,"[390, 458, 53, 58]",0.98,0.0,0.02,0.0,0.0,0.0,0.0,"[457, 511, 22, 29]",0.0,0.0,0.0,0.01,0.11,0.01,0.87,"[414, 538, 19, 20]",0.76,0.0,0.02,0.01,0.17,0.0,0.04,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
12,"[519, 71, 223, 289]",0.03,0.0,0.02,0.11,0.07,0.0,0.77,"[356, 395, 57, 62]",0.01,0.0,0.02,0.04,0.02,0.85,0.06,"[457, 511, 22, 29]",0.0,0.0,0.0,0.02,0.11,0.01,0.86,"[414, 539, 18, 19]",0.37,0.0,0.03,0.02,0.37,0.0,0.21,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
13,"[517, 75, 217, 285]",0.03,0.0,0.03,0.06,0.07,0.0,0.8,"[355, 396, 57, 60]",0.01,0.0,0.01,0.05,0.01,0.87,0.05,"[457, 511, 22, 29]",0.0,0.0,0.0,0.02,0.11,0.01,0.86,"[414, 539, 18, 19]",0.37,0.0,0.03,0.02,0.37,0.0,0.21,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
14,"[507, 71, 225, 292]",0.02,0.0,0.03,0.04,0.09,0.01,0.81,"[354, 396, 56, 60]",0.0,0.0,0.01,0.04,0.0,0.92,0.02,"[457, 511, 22, 29]",0.0,0.0,0.0,0.02,0.11,0.01,0.86,"[414, 538, 18, 20]",0.75,0.0,0.02,0.01,0.18,0.0,0.05,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
15,"[509, 69, 224, 294]",0.02,0.0,0.03,0.06,0.06,0.0,0.82,"[355, 395, 57, 61]",0.01,0.0,0.01,0.04,0.01,0.91,0.03,"[457, 511, 22, 29]",0.0,0.0,0.0,0.02,0.11,0.01,0.86,"[414, 538, 18, 20]",0.66,0.0,0.03,0.01,0.24,0.0,0.06,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
16,"[510, 71, 222, 287]",0.01,0.0,0.02,0.07,0.04,0.0,0.86,"[354, 403, 47, 54]",0.01,0.0,0.02,0.41,0.04,0.35,0.17,"[457, 511, 22, 29]",0.0,0.0,0.0,0.02,0.11,0.01,0.86,"[414, 539, 18, 19]",0.23,0.0,0.04,0.02,0.41,0.0,0.3,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
17,"[507, 64, 226, 297]",0.02,0.0,0.02,0.12,0.05,0.0,0.79,"[457, 511, 22, 29]",0.0,0.0,0.0,0.02,0.11,0.01,0.86,"[414, 539, 17, 19]",0.27,0.0,0.08,0.02,0.34,0.0,0.29,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
18,"[519, 68, 220, 287]",0.05,0.0,0.05,0.11,0.08,0.0,0.7,"[350, 402, 48, 58]",0.01,0.0,0.04,0.05,0.02,0.83,0.05,"[457, 511, 22, 29]",0.0,0.0,0.0,0.01,0.11,0.01,0.86,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
19,"[512, 73, 217, 282]",0.03,0.0,0.04,0.08,0.11,0.0,0.74,"[356, 393, 54, 61]",0.01,0.0,0.02,0.03,0.02,0.86,0.06,,,,,,,,,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
20,"[511, 70, 218, 284]",0.01,0.0,0.03,0.05,0.07,0.0,0.83,"[355, 392, 56, 61]",0.01,0.0,0.03,0.03,0.03,0.82,0.08,,,,,,,,,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
21,"[511, 71, 218, 282]",0.02,0.0,0.03,0.06,0.09,0.0,0.81,"[352, 393, 57, 59]",0.01,0.0,0.02,0.04,0.02,0.83,0.08,"[565, 524, 33, 44]",0.01,0.0,0.07,0.03,0.28,0.04,0.56,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
22,"[510, 72, 213, 282]",0.02,0.0,0.02,0.06,0.06,0.0,0.85,"[352, 393, 56, 59]",0.01,0.0,0.02,0.04,0.02,0.81,0.1,,,,,,,,,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
23,"[509, 69, 220, 283]",0.01,0.0,0.02,0.05,0.06,0.0,0.85,"[564, 519, 37, 49]",0.01,0.0,0.06,0.02,0.33,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,video_0097,47,2,40,23,23.967330965395494,1.9610026693360028,2025-01-29T20:08:31.618496
