clip,anger(1),disgust(2),fear(3),happiness(4),neutral(5),sadness(6),surprise(7),contempt(8),anxiety(9),helplessness(10),disappointment(11),single_label
00164.mp4,0.75,0,-1,0,0,-1,0,0,0.88,0.52,0,9
00169.mp4,0,-1,0,0,0.93,0,0,-1,-1,0,0,5
00170.mp4,0,0,0,0.85,0,0,-1,-1,0,0,0,4
00174.mp4,-1,-1,-1,0,-1,0,0.68,0,-1,0,0,7
00175.mp4,0,0,0.69,0,0,-1,-1,0,0.74,-1,0,9
00177.mp4,0,0,0,-1,0,0.83,-1,0,0,-1,-1,6
00178.mp4,0,0,0,0,-1,-1,0,0,0.74,-1,0,9
00179.mp4,-1,-1,0,0,0.94,0,0,-1,0,0,0,5
00180.mp4,0.74,0.78,0,0,-1,-1,0,-1,0,0,0,2
00183.mp4,-1,0,0,-1,0,0.85,-1,0,-1,-1,-1,6
00188.mp4,0,-1,0,-1,-1,0,-1,0.84,-1,0,0,8
00192.mp4,0,0,0,0.84,0,-1,-1,0,-1,-1,0,4
00197.mp4,0,0,-1,0.81,-1,0,-1,-1,0,0,0,4
00198.mp4,0,0,-1,0,0.93,-1,0,0,-1,-1,0,5
00205.mp4,0,0,0.82,0,0,0.8,0,0,-1,-1,-1,3
00206.mp4,0,0,0,0.84,0,-1,-1,0,-1,-1,0,4
00209.mp4,-1,-1,0,-1,0.92,0,0,-1,-1,-1,0,5
00210.mp4,0.68,-1,0,0,-1,-1,0,-1,0,0,-1,1
00211.mp4,-1,-1,0,0,0,0.82,-1,0,0,0,-1,6
00212.mp4,-1,0,0,0.88,0,0,-1,0,-1,0,0,4
00213.mp4,0,0,0.7,0,-1,0,-1,0,-1,-1,0,3
00215.mp4,0,-1,0,0,-1,-1,-1,-1,-1,0.75,0.87,11
00219.mp4,0,-1,0,0.77,-1,-1,-1,-1,0,-1,0,4
00220.mp4,0,-1,0,0,0,-1,0.83,0,0.8,-1,0,7
00221.mp4,0,0,0,0,0.97,-1,0,-1,-1,-1,0,5
00225.mp4,0,0,-1,0,0,-1,0,0,0.82,0.6,0,9
00227.mp4,-1,-1,0,0,0.9,-1,0,-1,-1,0,0,5
00228.mp4,0,0,0,0.86,0,0,-1,-1,-1,0,0,4
00229.mp4,-1,-1,0,0.84,0,-1,0.78,0,-1,0,0,4
00230.mp4,0.8,-1,0.86,0,0,0,0,0,-1,-1,0,3
00231.mp4,0,0,0.77,0,0,-1,0.74,0,-1,-1,0,3
00233.mp4,-1,0,-1,0,0,0.95,-1,0,0,-1,-1,6
00234.mp4,0,0,0.78,0,0,0,0.78,0,-1,0,0,7
00235.mp4,-1,0.78,0,-1,0,0,-1,0.68,0,-1,0,2
00236.mp4,0,-1,0,0,0.94,-1,0,-1,-1,-1,0,5
00237.mp4,0,-1,0,-1,0.86,0,0,-1,-1,0,0,5
00238.mp4,0,-1,0,0.87,-1,0,-1,-1,0,0,0,4
00240.mp4,0,0,0.78,0,0,0.76,-1,0,0,-1,0,3
00241.mp4,0,0,-1,-1,0.95,-1,0,0,-1,-1,0,5
00243.mp4,0,0,0,0,-1,-1,0,-1,0,0.72,-1,10
00244.mp4,0.88,0.65,0,0,0,0,0,-1,0,0,-1,1
00246.mp4,0,0,0,0,-1,0.79,0,0,-1,-1,-1,6
00247.mp4,0,-1,0,0.87,0,0,-1,-1,-1,0,0,4
00248.mp4,-1,0,-1,0,0.96,0,0,-1,0,0,0,5
00249.mp4,-1,-1,0,0,0,-1,0,0,0.75,-1,-1,9
00250.mp4,0,-1,0,0,0.92,-1,0,-1,-1,-1,-1,5
00251.mp4,0,-1,0,-1,0.98,0,0,-1,0,0,0,5
00252.mp4,0,0,0.8,0,0,0,0.85,0,0,0,0,7
00253.mp4,0,0,0.76,0,0,0.83,-1,0,-1,-1,-1,6
00254.mp4,0,-1,0.86,0,0,-1,-1,0,-1,0,0,3
00255.mp4,0,0,0,0,0.97,-1,0,-1,-1,0,0,5
00257.mp4,-1,-1,0,0,0.88,0,0,-1,-1,0,0,5
00258.mp4,0,0,0,-1,0.91,0,0,-1,-1,-1,-1,5
00259.mp4,-1,0,-1,0,0.87,0,0,-1,-1,0,0,5
00260.mp4,0,0,0.77,0,-1,0,-1,0,-1,0,0,3
00261.mp4,-1,0,0,0.77,0,0,-1,-1,0,0,0,4
00262.mp4,0.73,0.56,0,0,-1,0,0,0,-1,0,0,1
00264.mp4,0.68,-1,0,0,-1,-1,0,0,-1,0,-1,1
00265.mp4,-1,0,-1,0,0,0.76,-1,0,-1,-1,0,6
00266.mp4,0,0,-1,0,0,0.89,-1,0,0,-1,0,6
00267.mp4,0,0,0,-1,0,0.82,0,0,-1,0.73,0.77,6
00268.mp4,0,0,0.77,0,0,0,0.82,0,0.6,0,0,7
00269.mp4,0,-1,-1,0,0.9,0,0,0,-1,-1,-1,5
00271.mp4,0,-1,0.77,0,0,0,0.9,0,-1,0,0,7
00272.mp4,-1,-1,-1,0,0,-1,0.8,0,-1,0,-1,7
00274.mp4,-1,-1,0,0,-1,-1,0,0,0.76,0,0,9
00275.mp4,0.87,-1,0,0,0,0,-1,0,-1,0,-1,1
00276.mp4,0,0,0.85,0,-1,-1,-1,0,0.7,-1,0,3
00278.mp4,0,0,0.75,0,0,0,0.78,-1,0,0,0,7
00279.mp4,0,-1,0,0,0.96,0,0,-1,0,0,0,5
00280.mp4,0,-1,0,-1,0.92,0,-1,-1,0,0,0,5
00281.mp4,0,0,-1,0,-1,-1,0.73,0,-1,-1,0,7
00284.mp4,0,0,0,0.86,0,0,-1,0,0,0,0,4
00286.mp4,0,-1,0,0.86,0,0,-1,-1,0,0,0,4
00289.mp4,0,0,-1,0,0.97,-1,-1,0,0,-1,0,5
00290.mp4,0,0,0.83,0,0,0,0.76,0,0,0,0,3
00291.mp4,0,0,0,0.88,0,0,-1,0,0,0,0,4
00296.mp4,0,0,0,0.88,0,0,-1,-1,0,0,0,4
00297.mp4,-1,0.8,-1,0,0,0,-1,-1,-1,0,0,2
00298.mp4,-1,-1,0,0,0.9,0,-1,0,-1,0,-1,5
00300.mp4,-1,0,-1,0,0,0.87,-1,0,-1,-1,0,6
00301.mp4,0,0,-1,0,0,0.75,-1,0,-1,-1,-1,6
00302.mp4,0,0,0,0,0,0.9,-1,0,0,0.65,-1,6
00303.mp4,0,0,0.77,0,0,-1,0.76,0,-1,0,0,3
00304.mp4,0,0,0,0,0.92,-1,-1,0,-1,-1,0,5
00305.mp4,0,0,0,0,-1,-1,0,0,0.72,-1,0,9
00308.mp4,0,0,0.94,0,0,-1,0.77,0,-1,0,0,3
00309.mp4,0,-1,0.71,0,0,0,0.78,0,-1,0,0,7
00310.mp4,0,0,0,0,0.9,0,-1,0,-1,0,0,5
00311.mp4,0,0,0.84,0,0,0,-1,0,0,0,0,3
00312.mp4,0,0,0.73,0,0,0,0.75,0,0.82,-1,0,9
00313.mp4,0,0,0,0.85,-1,0,-1,0,0,0,0,4
00314.mp4,0,0,0,0.85,-1,0,-1,0,0,0,0,4
00315.mp4,0,0,0,0.85,0,0,-1,0,-1,-1,-1,4
00316.mp4,-1,0,0,0,-1,-1,0,0,0,-1,0.68,11
00317.mp4,0,0,-1,0.86,0,0,-1,0,0,0,-1,4
00318.mp4,0,0,0,0.86,0,0,-1,-1,0,0,-1,4
00319.mp4,0,0,0.8,0,0,-1,0.72,0,-1,0,0,3
00320.mp4,0,0,-1,0,0.93,-1,-1,0,0,-1,0,5
00322.mp4,0,0,0,-1,-1,-1,0,-1,-1,0.8,-1,10
00324.mp4,0,0,0,0.7,0,0,0,-1,-1,-1,0,4
00325.mp4,0,0,-1,0,-1,-1,0.77,0,-1,-1,-1,7
00328.mp4,0,-1,0,0.9,0,0,-1,-1,-1,0,0,4
00329.mp4,-1,-1,0,0.8,0,0,-1,0.62,0,0,0,4
00330.mp4,0,0,0,0.89,0,0,-1,-1,0,0,0,4
00331.mp4,-1,0,-1,0,0,0,0.76,0,-1,0,0,7
00332.mp4,0,0,0,0.8,-1,0,-1,0,-1,-1,-1,4
00333.mp4,0,0,-1,0,0,0.89,0,0,0,0.6,0,6
00334.mp4,0,0,-1,-1,0,-1,0,0,-1,-1,0.88,11
00335.mp4,0,0,0,0.84,0,0,-1,-1,0,0,0,4
00336.mp4,0,-1,0,0.82,0,0,-1,-1,0,0,0,4
00337.mp4,0,0,0,0.91,0,0,-1,-1,0,0,0,4
00339.mp4,0,0.79,0,0,0,0,0,0.6,0,0,-1,2
00340.mp4,0.77,0,-1,0,0,0.74,-1,0,-1,0,-1,1
00342.mp4,-1,0,0.7,0,0,-1,0.74,0,0,0,0,7
00343.mp4,-1,0,0.74,0,0,0,0.87,0,0,0,0,7
00344.mp4,0.88,0.74,0,0,0,0,-1,0,0,-1,0,1
00345.mp4,0,0,0.76,0,0,0,0.91,0,0,0,0,7
00354.mp4,0,0,0,0.9,0,0,-1,-1,0,0,0,4
00355.mp4,-1,0,0,0.67,-1,0,-1,-1,0,0,0,4
00356.mp4,-1,-1,-1,-1,0.94,0,0,-1,-1,0,-1,5
00357.mp4,0,-1,0,0.82,-1,0,-1,-1,0,0,0,4
00358.mp4,0,0,0,0.88,-1,0,-1,-1,0,0,0,4
00361.mp4,0,-1,0,0,0,-1,0,0,-1,0.76,0.82,11
00363.mp4,0.81,0.78,0,0,0,0,0,-1,0,0,0,1
00366.mp4,-1,-1,-1,0,0,0.89,0,0,-1,-1,-1,6
00367.mp4,0,0,0,0,0,0.88,0,0,0,0.7,-1,6
00368.mp4,0,0,0.87,0,0,0,0.78,0,0,0,0,3
00370.mp4,0,0,0,0.85,-1,0,-1,-1,0,0,0,4
00372.mp4,0,0,0,0.87,-1,0,-1,0,-1,0,0,4
00373.mp4,0,-1,0,0,0.91,0,-1,0,-1,0,0,5
00374.mp4,0,-1,0,0,-1,-1,0,-1,-1,0.82,-1,10
00375.mp4,0,0,0,0.8,-1,0,-1,0,0,0,-1,4
00377.mp4,0.82,-1,0,0,0,0.74,0,0,-1,-1,-1,1
00378.mp4,-1,0,0,0,0.95,-1,0,-1,-1,-1,-1,5
00379.mp4,-1,0,0,0,0.96,-1,-1,0,-1,-1,-1,5
00380.mp4,0,0,0,0.84,0,0,-1,-1,0,0,0,4
00381.mp4,0,-1,0,0,0,0.78,0,0,-1,0.7,0.62,6
00382.mp4,0,-1,0,0,0,0.74,0,0,-1,-1,0.84,11
00383.mp4,0,-1,0,0,0.98,-1,0,0,0,-1,-1,5
00384.mp4,0,0,0,0,0,0.93,0,0,0,0.68,-1,6
00385.mp4,-1,-1,0,0,-1,-1,0,0.86,-1,-1,-1,8
00388.mp4,0,0,-1,0,-1,-1,0.62,-1,0,-1,-1,7
00389.mp4,0,-1,-1,0,-1,-1,-1,-1,0.75,-1,0,9
00390.mp4,0,-1,0,0.83,0,0,-1,-1,-1,0,0,4
00392.mp4,0,-1,0,0,-1,-1,-1,0.68,0,0,-1,8
00393.mp4,0,0,0,0.84,0,-1,0.64,0,0,0,-1,4
00395.mp4,0,0,0,0.83,0,0,-1,0,0,0,0,4
00396.mp4,0,0,0,0.91,0,0,-1,-1,0,0,0,4
00397.mp4,0.85,0.72,0,0,0,0,0,-1,-1,0,-1,1
00400.mp4,0.82,-1,-1,0,0,0,0,-1,0.88,0,-1,9
00401.mp4,0,-1,-1,0,0,0,-1,0,-1,-1,0.77,11
00403.mp4,-1,-1,-1,0,0.89,0,0,0,-1,0,-1,5
00404.mp4,0,0,0,0.82,-1,0,-1,-1,0,0,0,4
00406.mp4,0.85,-1,0,0,0,-1,0,-1,0,0,-1,1
00407.mp4,0.87,0.8,0,-1,0,0,-1,0,-1,-1,0,1
00408.mp4,0,0.82,0,0,0,0,0,-1,-1,-1,-1,2
00410.mp4,0.82,0.76,-1,0,0,0,0,0,-1,0,0,1
00411.mp4,0.88,0.78,0,0,0,0.78,0,0,0,0,-1,1
00412.mp4,0,-1,0,-1,0,0,0,0.75,-1,0,0,8
00413.mp4,0,-1,0,-1,-1,0,0,0.71,0,0,0,8
00415.mp4,0,0,0.77,0,0,0.72,-1,0,-1,-1,0,3
00416.mp4,-1,0,0,0,0.97,-1,0,0,-1,-1,0,5
00417.mp4,0,-1,0,-1,-1,0,0,0.73,0,0,0,8
00420.mp4,0,0,0.67,0,-1,-1,0,0,-1,-1,0,3
00421.mp4,0,0,0,-1,0.88,0,0,-1,-1,0,0,5
00424.mp4,0,0,-1,0,0,0,0.78,-1,-1,0,0,7
00425.mp4,0,0,0,0,-1,-1,0,0,-1,-1,0.9,11
00426.mp4,-1,0,0,0,0.96,0,0,-1,0,0,-1,5
00427.mp4,-1,-1,0,0,0,0.77,-1,-1,0,-1,0,6
00428.mp4,0,0,-1,0.8,-1,0,-1,0,0,0,0,4
00429.mp4,0,0,-1,-1,0.95,0,0,0,-1,0,0,5
00430.mp4,0,0,0,0,-1,0.79,0,0,-1,0.68,0.6,6
00431.mp4,0,0,0,0,0,0.77,0,0,0,0.6,0.75,6
00432.mp4,0,0,0,0.91,0,0,0.62,0,0,0,0,4
00433.mp4,0.8,-1,0,0,0,0.88,0,0,-1,-1,0,6
00434.mp4,0,0,0,0.8,0,0,-1,-1,0,0,0,4
00436.mp4,0,0,0,0,-1,0.83,0,0,-1,-1,-1,6
00437.mp4,-1,0,-1,0,0,-1,0,0,-1,-1,0.8,11
00440.mp4,0,0,-1,0,-1,-1,-1,0,0.7,-1,-1,9
00441.mp4,0,0,0,0.87,0,-1,-1,-1,-1,0,0,4
00442.mp4,-1,-1,0,0,0.92,0,0,-1,0,0,0,5
00443.mp4,-1,0,0,-1,-1,-1,-1,0,0,0,0.77,11
00444.mp4,0,0,0,0,-1,0,0,0,0.72,0.82,0,10
00445.mp4,0,0,0,0,0,0.82,0,0,0,0.58,-1,6
00446.mp4,-1,-1,-1,0,0,-1,0.81,0,-1,-1,-1,7
00447.mp4,0.83,-1,0,-1,0,-1,-1,-1,0,0,0,1
00448.mp4,0,0,0,0,0,0.87,-1,0,-1,-1,-1,6
00449.mp4,0,0,0,0,-1,0.83,0,0,-1,-1,-1,6
00450.mp4,-1,-1,0,0,0.94,0,0,-1,-1,0,0,5
00451.mp4,-1,-1,0,-1,-1,0.78,0,-1,0,-1,0,6
00452.mp4,0,0,0,0.93,0,0,-1,0,0,0,0,4
00453.mp4,0.88,-1,0,0,0,-1,0,-1,-1,0.56,0,1
00454.mp4,0,0,0,0.87,0,0,0.7,0,0,0,0,4
00455.mp4,0,0,0,0.87,0,0,-1,-1,0,0,0,4
00456.mp4,-1,0.67,0,0,0,0,-1,-1,-1,0,0,2
00457.mp4,0,0,0,0.85,0,0,-1,-1,0,0,0,4
00460.mp4,0,0,0,-1,0,0.84,-1,0,-1,-1,0,6
00462.mp4,-1,0,-1,0,0,0.88,0,0,0,-1,0,6
00463.mp4,-1,0,0,0,0,0.87,0,0,0,0.58,-1,6
00464.mp4,-1,0,0,0,0,0.9,-1,0,0,0.57,-1,6
00465.mp4,0,0,0,0.9,0,-1,-1,-1,-1,0,0,4
00466.mp4,0,0,0,0,0,0.85,0,0,-1,-1,-1,6
00467.mp4,0,0,-1,0,0,0.92,-1,0,0,-1,-1,6
00468.mp4,-1,0.82,0,0,0,0,0,0.79,0,0,0,2
00469.mp4,0.86,-1,0,0,0,0,0,-1,0,0,0,1
00470.mp4,0.72,0.7,0,0,-1,0,-1,-1,0,-1,0,1
00471.mp4,0,0,0,0.94,0,0,-1,-1,0,0,0,4
00472.mp4,0,0,0,-1,0,0.92,-1,-1,0,-1,-1,6
00473.mp4,0,0,-1,0,-1,0.8,-1,0,-1,-1,0,6
00477.mp4,0,0,0,0.82,0,0,-1,-1,0,0,0,4
00483.mp4,-1,-1,0,0,0,0,0.84,-1,-1,0,0,7
00486.mp4,0,0,0,0.87,-1,0,-1,-1,0,0,0,4
00487.mp4,0,0,0,0,0.97,-1,-1,0,0,-1,-1,5
00489.mp4,-1,0.88,0,0,0,0,0,-1,-1,-1,-1,2
00491.mp4,0,0,0.71,0,-1,0,-1,0,0.92,0,0,9
00492.mp4,-1,-1,-1,0,0,0,0.71,0,-1,0,0,7
00493.mp4,0,0,-1,-1,-1,-1,0.72,0,0,-1,-1,7
00494.mp4,0,0,-1,0,0,-1,0.81,-1,-1,0,0,7
00497.mp4,0,0,0,0.89,0,0,-1,-1,0,0,0,4
00498.mp4,0.87,-1,0,0,0,0,-1,0,0.82,-1,0,1
00499.mp4,0,-1,-1,0,-1,-1,-1,0,0.76,0,-1,9
00500.mp4,0,0,0,0.83,0,0,-1,0,0,0,-1,4
00502.mp4,0,0,0,0.91,0,0,-1,0,0,0,0,4
00503.mp4,0,0,0,0.88,0,0,-1,-1,-1,-1,0,4
00505.mp4,0,0,0,0.91,0,0,-1,-1,0,0,0,4
00506.mp4,0,-1,0,0,-1,0,-1,0.66,-1,-1,-1,8
00507.mp4,-1,0.78,0,-1,0,-1,0,-1,0,0.8,-1,10
00511.mp4,0,0,0.83,0,0,-1,-1,0,-1,-1,0,3
00512.mp4,0,0,0.85,0,0,0.73,-1,0,-1,-1,0,3
00513.mp4,0,-1,-1,0,-1,0.87,0,-1,-1,-1,-1,6
00514.mp4,0,0,0,0,0.93,-1,0,0,0,-1,0,5
00515.mp4,0,-1,0,-1,0.91,-1,-1,0,0,0,0,5
00516.mp4,0.88,0.75,0,0,-1,0,0,-1,0,-1,0,1
00517.mp4,0,0,0,0,-1,0.79,0,-1,-1,-1,0.57,6
00519.mp4,0.92,-1,0,0,0,0.75,0,-1,-1,0,0,1
00520.mp4,0,0,-1,0,0,0.89,-1,0,0,0.7,-1,6
00521.mp4,0,-1,0,0.75,-1,-1,-1,-1,0,-1,0,4
00522.mp4,-1,-1,-1,0,0,-1,0,-1,0.68,0.72,-1,10
00523.mp4,-1,0,0,0,-1,-1,-1,0,-1,0.7,-1,10
00524.mp4,0,-1,0,-1,1,-1,0,-1,-1,-1,0,5
00525.mp4,-1,-1,0,0.8,-1,0,0,-1,0,-1,0,4
00526.mp4,0,0,-1,-1,0,0.81,0.8,0,-1,-1,0,6
00527.mp4,-1,0,0,-1,0.94,-1,-1,0,-1,0,0,5
00528.mp4,-1,-1,0,0,0.93,-1,-1,0,-1,-1,0,5
00529.mp4,0,-1,0,-1,0.94,-1,-1,-1,-1,0,-1,5
00530.mp4,0,-1,0,0,0,-1,0,-1,0.7,0.7,0,10
00531.mp4,0,-1,0,-1,-1,0.74,0,-1,0,-1,0.62,6
00533.mp4,0,0,0,0,0,0.85,0,0,0,0.74,-1,6
00534.mp4,0,0,0,0,0.92,-1,0,0,0,-1,0,5
00536.mp4,0,-1,0,0,0,-1,0,-1,-1,0.7,0.83,11
00537.mp4,0,-1,0.8,0,0,-1,0.78,0,-1,-1,0,3
00538.mp4,0,-1,0,0.85,0,0,-1,0,-1,-1,0,4
00541.mp4,-1,-1,0,0.76,0,-1,0,-1,0,-1,0,4
00542.mp4,0,0,-1,0,0,0.84,-1,0,-1,0.75,0,6
00543.mp4,-1,0.84,-1,-1,0,0,-1,0.72,0,0,0,2
00544.mp4,0,0,0.73,-1,0,0.83,-1,0,-1,-1,0,6
00545.mp4,-1,0,0,0,-1,0.73,0,0,-1,0.68,-1,6
00546.mp4,0,0,0.86,0,0,-1,-1,0,0.65,-1,0,3
00547.mp4,0,-1,-1,0,0,0.75,-1,0,-1,-1,-1,6
00548.mp4,0,0,0,0.85,0,0,-1,-1,-1,-1,-1,4
00549.mp4,0,0,0,-1,1,0,-1,-1,-1,0,0,5
00550.mp4,0,0,0,0.86,0,0,-1,-1,-1,0,0,4
00551.mp4,0,-1,-1,0,-1,-1,-1,0,0.6,-1,0,9
00552.mp4,0,-1,0,0.82,0,0,-1,-1,-1,-1,-1,4
00554.mp4,-1,-1,0,0,-1,-1,0,0,0.8,0.75,-1,9
00555.mp4,0,0,0,-1,0.9,0,-1,0,0.53,-1,0,5
00556.mp4,0.85,0.67,0,0,0,0,0,-1,-1,-1,0,1
00557.mp4,0,-1,-1,0,0,-1,0.8,0,0.66,0,0,7
00558.mp4,0,0,-1,0,-1,0,0,0,0.84,-1,0,9
00559.mp4,0,0,0,-1,0.93,0,-1,0,0,0,0,5
00560.mp4,0,-1,0,0.8,0,0,0,0.74,0,0,0,4
00561.mp4,0,0,0,0.91,0,0,-1,0,-1,0,0,4
00562.mp4,0,-1,0,0.74,0,0,-1,-1,0,0,0,4
00563.mp4,0,0,0,0.86,-1,0,-1,-1,0,0,0,4
00564.mp4,-1,-1,0,0,-1,0,0.72,0,-1,0,0,7
00566.mp4,0.7,-1,0,0,-1,-1,-1,0,-1,-1,0.7,11
00567.mp4,-1,0,0,0,0,0.81,0,0,0,-1,0.8,6
00568.mp4,0,0,-1,-1,-1,0,0.78,0,-1,-1,0,7
00569.mp4,0,0,-1,0,0.94,0,0,0,-1,-1,0,5
00570.mp4,0.77,0.67,0,0,-1,0,0,-1,0,-1,-1,1
00571.mp4,0.76,-1,0,-1,-1,0,0,-1,0,0,0,1
00572.mp4,0,0.68,0,-1,-1,-1,-1,0.8,0,-1,0,8
00573.mp4,0.7,-1,-1,0,-1,-1,-1,0,0.65,0,0,1
00574.mp4,0,-1,0,0,0.93,0,0,-1,-1,-1,0,5
00575.mp4,0.8,0.75,0,0,-1,0,-1,-1,0,-1,0,1
00576.mp4,-1,0,0.72,0,0,-1,-1,0,-1,0,0,3
00577.mp4,-1,0,-1,0,0,-1,0.76,0,-1,-1,-1,7
00579.mp4,-1,-1,-1,0,0.93,-1,0,0,0.78,-1,0,5
00580.mp4,-1,0.85,0,0,0,-1,-1,-1,-1,0.62,-1,2
00581.mp4,0,-1,0,0,0.94,-1,-1,0,-1,0,0,5
00582.mp4,0,-1,0,-1,-1,0,0,0.86,0,0,-1,8
00583.mp4,-1,0.79,0,0,0,0,0,0.73,0,-1,-1,2
00584.mp4,0.8,0.65,0,0,0,0,0,-1,0,0,0,1
