clip,anger(1),disgust(2),fear(3),happiness(4),neutral(5),sadness(6),surprise(7),contempt(8),anxiety(9),helplessness(10),disappointment(11),multi_label
00278.mp4,0,0,0.75,0,0,0,0.78,-1,0,0,0,"3,7"
00290.mp4,0,0,0.83,0,0,0,0.76,0,0,0,0,"3,7"
00302.mp4,0,0,0,0,0,0.9,-1,0,0,0.65,-1,"6,10"
00303.mp4,0,0,0.77,0,0,-1,0.76,0,-1,0,0,"3,7"
00308.mp4,0,0,0.94,0,0,-1,0.77,0,-1,0,0,"3,7"
00309.mp4,0,-1,0.71,0,0,0,0.78,0,-1,0,0,"3,7"
00312.mp4,0,0,0.73,0,0,0,0.75,0,0.82,-1,0,"3,7,9"
00319.mp4,0,0,0.8,0,0,-1,0.72,0,-1,0,0,"3,7"
00329.mp4,-1,-1,0,0.8,0,0,-1,0.62,0,0,0,"4,8"
00333.mp4,0,0,-1,0,0,0.89,0,0,0,0.6,0,"6,10"
00339.mp4,0,0.79,0,0,0,0,0,0.6,0,0,-1,"2,8"
00340.mp4,0.77,0,-1,0,0,0.74,-1,0,-1,0,-1,"1,6"
00342.mp4,-1,0,0.7,0,0,-1,0.74,0,0,0,0,"3,7"
00343.mp4,-1,0,0.74,0,0,0,0.87,0,0,0,0,"3,7"
00344.mp4,0.88,0.74,0,0,0,0,-1,0,0,-1,0,"1,2"
00345.mp4,0,0,0.76,0,0,0,0.91,0,0,0,0,"3,7"
00361.mp4,0,-1,0,0,0,-1,0,0,-1,0.76,0.82,"10,11"
00363.mp4,0.81,0.78,0,0,0,0,0,-1,0,0,0,"1,2"
00367.mp4,0,0,0,0,0,0.88,0,0,0,0.7,-1,"6,10"
00368.mp4,0,0,0.87,0,0,0,0.78,0,0,0,0,"3,7"
00377.mp4,0.82,-1,0,0,0,0.74,0,0,-1,-1,-1,"1,6"
00381.mp4,0,-1,0,0,0,0.78,0,0,-1,0.7,0.62,"6,10,11"
00382.mp4,0,-1,0,0,0,0.74,0,0,-1,-1,0.84,"6,11"
00384.mp4,0,0,0,0,0,0.93,0,0,0,0.68,-1,"6,10"
00393.mp4,0,0,0,0.84,0,-1,0.64,0,0,0,-1,"4,7"
00397.mp4,0.85,0.72,0,0,0,0,0,-1,-1,0,-1,"1,2"
00400.mp4,0.82,-1,-1,0,0,0,0,-1,0.88,0,-1,"1,9"
00407.mp4,0.87,0.8,0,-1,0,0,-1,0,-1,-1,0,"1,2"
00410.mp4,0.82,0.76,-1,0,0,0,0,0,-1,0,0,"1,2"
00415.mp4,0,0,0.77,0,0,0.72,-1,0,-1,-1,0,"3,6"
00430.mp4,0,0,0,0,-1,0.79,0,0,-1,0.68,0.6,"6,10,11"
00431.mp4,0,0,0,0,0,0.77,0,0,0,0.6,0.75,"6,10,11"
00432.mp4,0,0,0,0.91,0,0,0.62,0,0,0,0,"4,7"
00433.mp4,0.8,-1,0,0,0,0.88,0,0,-1,-1,0,"1,6"
00444.mp4,0,0,0,0,-1,0,0,0,0.72,0.82,0,"9,10"
00445.mp4,0,0,0,0,0,0.82,0,0,0,0.58,-1,"6,10"
00453.mp4,0.88,-1,0,0,0,-1,0,-1,-1,0.56,0,"1,10"
00454.mp4,0,0,0,0.87,0,0,0.7,0,0,0,0,"4,7"
00463.mp4,-1,0,0,0,0,0.87,0,0,0,0.58,-1,"6,10"
00464.mp4,-1,0,0,0,0,0.9,-1,0,0,0.57,-1,"6,10"
00468.mp4,-1,0.82,0,0,0,0,0,0.79,0,0,0,"2,8"
00470.mp4,0.72,0.7,0,0,-1,0,-1,-1,0,-1,0,"1,2"
00491.mp4,0,0,0.71,0,-1,0,-1,0,0.92,0,0,"3,9"
00498.mp4,0.87,-1,0,0,0,0,-1,0,0.82,-1,0,"1,9"
00507.mp4,-1,0.78,0,-1,0,-1,0,-1,0,0.8,-1,"2,10"
00512.mp4,0,0,0.85,0,0,0.73,-1,0,-1,-1,0,"3,6"
00516.mp4,0.88,0.75,0,0,-1,0,0,-1,0,-1,0,"1,2"
00517.mp4,0,0,0,0,-1,0.79,0,-1,-1,-1,0.57,"6,11"
00519.mp4,0.92,-1,0,0,0,0.75,0,-1,-1,0,0,"1,6"
00520.mp4,0,0,-1,0,0,0.89,-1,0,0,0.7,-1,"6,10"
00522.mp4,-1,-1,-1,0,0,-1,0,-1,0.68,0.72,-1,"9,10"
00526.mp4,0,0,-1,-1,0,0.81,0.8,0,-1,-1,0,"6,7"
00530.mp4,0,-1,0,0,0,-1,0,-1,0.7,0.7,0,"9,10"
00531.mp4,0,-1,0,-1,-1,0.74,0,-1,0,-1,0.62,"6,11"
00533.mp4,0,0,0,0,0,0.85,0,0,0,0.74,-1,"6,10"
00536.mp4,0,-1,0,0,0,-1,0,-1,-1,0.7,0.83,"10,11"
00537.mp4,0,-1,0.8,0,0,-1,0.78,0,-1,-1,0,"3,7"
00542.mp4,0,0,-1,0,0,0.84,-1,0,-1,0.75,0,"6,10"
00543.mp4,-1,0.84,-1,-1,0,0,-1,0.72,0,0,0,"2,8"
00544.mp4,0,0,0.73,-1,0,0.83,-1,0,-1,-1,0,"3,6"
00545.mp4,-1,0,0,0,-1,0.73,0,0,-1,0.68,-1,"6,10"
00546.mp4,0,0,0.86,0,0,-1,-1,0,0.65,-1,0,"3,9"
00554.mp4,-1,-1,0,0,-1,-1,0,0,0.8,0.75,-1,"9,10"
00556.mp4,0.85,0.67,0,0,0,0,0,-1,-1,-1,0,"1,2"
00557.mp4,0,-1,-1,0,0,-1,0.8,0,0.66,0,0,"7,9"
00560.mp4,0,-1,0,0.8,0,0,0,0.74,0,0,0,"4,8"
00567.mp4,-1,0,0,0,0,0.81,0,0,0,-1,0.8,"6,11"
00570.mp4,0.77,0.67,0,0,-1,0,0,-1,0,-1,-1,"1,2"
00572.mp4,0,0.68,0,-1,-1,-1,-1,0.8,0,-1,0,"2,8"
00573.mp4,0.7,-1,-1,0,-1,-1,-1,0,0.65,0,0,"1,9"
00575.mp4,0.8,0.75,0,0,-1,0,-1,-1,0,-1,0,"1,2"
00580.mp4,-1,0.85,0,0,0,-1,-1,-1,-1,0.62,-1,"2,10"
00583.mp4,-1,0.79,0,0,0,0,0,0.73,0,-1,-1,"2,8"
00584.mp4,0.8,0.65,0,0,0,0,0,-1,0,0,0,"1,2"
00587.mp4,0,0,0,0.7,-1,0,0.73,0,0,0,0,"4,7"
00588.mp4,0,0,0,0.94,0,-1,0.63,0,0,0,0,"4,7"
00592.mp4,0,0,0,0,-1,0.71,0,0,-1,0.68,0.75,"6,10,11"
00596.mp4,0,0.77,-1,-1,0,0,-1,0.72,-1,0,0,"2,8"
00597.mp4,0,-1,0,0.72,0,0,0,0.89,0,0,0,"4,8"
00602.mp4,0.84,0.65,0,0,0,0,-1,0,-1,-1,0,"1,2"
00603.mp4,0.77,0.66,0,0,0,0,0,0,-1,-1,-1,"1,2"
00604.mp4,0.84,0.76,0,0,-1,-1,-1,0,-1,0,-1,"1,2"
00606.mp4,0,0,0,0.84,0,0,0.7,0,-1,0,0,"4,7"
00607.mp4,-1,-1,-1,0,0,-1,-1,0,0.82,0.74,-1,"9,10"
00610.mp4,-1,0,0,0,0,-1,-1,0,0.88,0.68,0.73,"9,10,11"
00611.mp4,0.68,-1,-1,0,0,0.81,-1,0,-1,-1,0,"1,6"
00612.mp4,0.76,0,0,0,0,0.93,0,0,-1,-1,0,"1,6"
00617.mp4,0,0,0.91,0,0,-1,-1,0,0.57,-1,0,"3,9"
00620.mp4,0,0.72,0,0,-1,0,-1,0.82,0,-1,0,"2,8"
00622.mp4,0,0,-1,0,-1,-1,0.8,0,0.68,0,-1,"7,9"
00628.mp4,0,0,0.88,0,0,0.79,0,0,-1,-1,-1,"3,6"
00629.mp4,0.84,0.63,0,0,0,0,-1,0,0,0,-1,"1,2"
00630.mp4,0.71,0.68,0,0,0,0,-1,-1,0,0,0,"1,2"
00639.mp4,0,0,0.72,0,0,-1,0.7,0,-1,-1,0,"3,7"
00645.mp4,0,0,0,0,0,0.73,-1,0,-1,0.65,-1,"6,10"
00646.mp4,0,0,-1,0,-1,0.73,0,0,-1,0.67,-1,"6,10"
00648.mp4,-1,0.58,0,0,-1,0,0,-1,-1,0.73,-1,"2,10"
00650.mp4,0,-1,0,0,0,-1,-1,0,0.85,0.7,0,"9,10"
00652.mp4,-1,0,-1,0,-1,0.78,0,0,-1,0.64,0,"6,10"
00658.mp4,0,0.76,0,0,-1,-1,0,0.68,0,-1,0,"2,8"
00667.mp4,0,0,0,0.69,-1,0,0,0.71,0,-1,0,"4,8"
00668.mp4,-1,0.62,0,-1,-1,0,-1,0.75,0,0,0,"2,8"
00670.mp4,0.75,-1,-1,0,-1,-1,0.73,0,0,0,-1,"1,7"
00673.mp4,-1,-1,0,0.76,0,0,-1,0.72,0,0,0,"4,8"
00679.mp4,0,-1,0,0.92,0,0,0.5,0,0,0,0,"4,7"
00683.mp4,0,-1,0.77,0,0,0,0.87,0,-1,-1,0,"3,7"
00684.mp4,0,0,0,0.94,0,0,0.5,0,0,0,0,"4,7"
00685.mp4,0.86,0.71,0,0,0,0,-1,-1,-1,0,0,"1,2"
00686.mp4,0.82,0.58,0,0,-1,0,-1,-1,-1,0,0,"1,2"
00687.mp4,0.88,0.61,0,0,-1,0,0,0,0,0,-1,"1,2"
00690.mp4,0,0,0.77,0,0,0,0.8,0,-1,-1,0,"3,7"
00693.mp4,0,0,0.74,0,-1,-1,-1,0,0.75,-1,0,"3,9"
00695.mp4,0,0,0.77,0,0,0,0.74,0,-1,-1,0,"3,7"
00701.mp4,0,0,0.74,0,-1,0,0.8,0,-1,-1,0,"3,7"
00707.mp4,0,-1,-1,0,-1,0,0.8,-1,0.68,0,0,"7,9"
00708.mp4,0,0,0.73,0,0,0,0.8,0,0,-1,0,"3,7"
00709.mp4,-1,0,0.91,0,0,-1,0.82,0,-1,-1,0,"3,7"
00711.mp4,0,0,0.81,0,0,0,0.74,0,-1,-1,0,"3,7"
00713.mp4,0,-1,0.76,0,0,-1,-1,0,0.8,-1,0,"3,9"
00716.mp4,0,0,0.57,0,-1,-1,0.84,0,-1,0,0,"3,7"
00728.mp4,0,0,0,0,-1,0.77,0,0,-1,0.75,-1,"6,10"
00737.mp4,0,0,-1,0,-1,-1,0,0,0.86,0.6,-1,"9,10"
00742.mp4,0,-1,0.72,0,0,0.86,-1,0,0,-1,0,"3,6"
00746.mp4,0,0,0,0,0,0.78,-1,0,0.65,0.68,0,"6,9,10"
00749.mp4,0,0,-1,-1,-1,0.78,-1,-1,0,0.8,-1,"6,10"
00753.mp4,-1,-1,-1,0,0,-1,0,0,0.68,0.64,-1,"9,10"
00754.mp4,0,0,-1,0,0,0.83,-1,0,0,0.5,-1,"6,10"
00755.mp4,0,0,-1,0,0,0.88,-1,0,-1,0.63,-1,"6,10"
00756.mp4,0,0,-1,0,-1,0.72,0,0,-1,0.56,-1,"6,10"
00757.mp4,0,0,0,0,-1,0.68,-1,0,-1,0.62,-1,"6,10"
00762.mp4,0,-1,0,0,0,0.83,0,0,0,0.7,0.62,"6,10,11"
00770.mp4,0,0,0,0,0,0.83,0,0,-1,0.63,-1,"6,10"
00784.mp4,0,0,0,0,-1,0.8,0,0,-1,0.58,-1,"6,10"
00786.mp4,0.81,0.8,-1,0,-1,-1,0,-1,-1,0,0,"1,2"
00795.mp4,0,0,0,0.91,0,0,0.72,0,0,0,0,"4,7"
00805.mp4,0,0,0,0.79,0,0,0.67,0,0,-1,0,"4,7"
00807.mp4,0,0,0.79,0,0,0.87,0,0,-1,-1,-1,"3,6"
00852.mp4,-1,-1,0.7,0,0,-1,-1,0,0.76,0,0,"3,9"
00855.mp4,0,0,0.85,0,0,0,0.74,0,-1,0,0,"3,7"
00860.mp4,0,0.74,0,0,0,-1,-1,-1,0,0,0.8,"2,11"
00861.mp4,0,-1,0,0.83,-1,0,0,0.72,0,0,0,"4,8"
00862.mp4,0,-1,-1,0,-1,-1,0,0,0.8,0.66,-1,"9,10"
00864.mp4,0,0,-1,0,-1,0.86,0,0,0,0.55,0,"6,10"
00876.mp4,0,0,0,0.88,0,0,0.71,0,-1,-1,0,"4,7"
00887.mp4,0.77,0,-1,0,0,-1,0,0,0.65,-1,-1,"1,9"
00898.mp4,0,0,0.77,0,0,0,-1,0,0.77,-1,-1,"3,9"
00904.mp4,0,0.58,0,0,-1,0,0,0.73,0,0,-1,"2,8"
00905.mp4,-1,-1,0.77,0,0,-1,-1,-1,0.73,-1,0,"3,9"
00911.mp4,-1,0,0,0,-1,0.82,-1,0,0.8,-1,-1,"6,9"
00912.mp4,0.85,0.72,0,0,0,0,0,-1,0,0,-1,"1,2"
00928.mp4,0,0,0.87,0,-1,-1,-1,0,0.7,-1,0,"3,9"
00947.mp4,-1,0,-1,0,-1,-1,0,0,-1,0.82,0.57,"10,11"
00948.mp4,0.8,-1,0,0,0,0.85,0,0,-1,-1,-1,"1,6"
00954.mp4,0,-1,0,0.82,0,0,-1,0.68,0,0,0,"4,8"
00955.mp4,0.75,0.74,0,0,0,0,0,-1,-1,-1,0,"1,2"
00979.mp4,0,0,0.77,0,-1,-1,-1,0,0.72,-1,0,"3,9"
00987.mp4,-1,0.72,0,-1,0,0,-1,0.77,-1,0,-1,"2,8"
00999.mp4,0,0,0,0.75,0,0,0.88,0,-1,0,0,"4,7"
01001.mp4,0.74,0.73,0,0,0,-1,0,-1,-1,-1,-1,"1,2"
01002.mp4,0.84,-1,-1,0,0,0,0.85,0,0,-1,0,"1,7"
01010.mp4,0,-1,0,0.63,-1,0,0,0.73,0,0,0,"4,8"
01019.mp4,0.73,0.62,0,0,-1,0,0,-1,0,0,-1,"1,2"
01036.mp4,0,-1,0,0,-1,0.8,0,-1,-1,0.65,0,"6,10"
01043.mp4,0.75,0.74,0,0,0,-1,-1,0,0,0,-1,"1,2"
01044.mp4,-1,0,0,0,-1,-1,-1,0,-1,0.85,0.7,"10,11"
01050.mp4,-1,0,0.88,0,0,0,0.82,0,-1,-1,0,"3,7"
01059.mp4,0.79,0.7,0,0,-1,0,0,-1,0,0,0,"1,2"
01063.mp4,-1,-1,-1,0,0,-1,0.79,0,0.73,-1,0,"7,9"
01071.mp4,0.85,0.63,0,0,0,0,0,-1,0,0,0,"1,2"
01072.mp4,0,0,-1,0.86,0,0,0.62,0,0,0,0,"4,7"
01077.mp4,0,0,0.68,0,0,0,0.65,0,-1,-1,-1,"3,7"
01080.mp4,0,-1,0.87,0,0,-1,-1,0,0.66,-1,0,"3,9"
01093.mp4,0,0,0.69,0,-1,0,-1,0,0.68,-1,0,"3,9"
01102.mp4,0,0,-1,0,-1,0.67,0,-1,-1,0.78,-1,"6,10"
01107.mp4,0,0,0.67,0,-1,0,-1,0,0.76,0,0,"3,9"
01115.mp4,0,-1,0,0.79,0,0,-1,0.7,0,0,0,"4,8"
01121.mp4,0,0,0,0,-1,-1,0,0,-1,0.85,0.82,"10,11"
01129.mp4,-1,0.81,0,0,0,-1,-1,-1,0.77,0,0,"2,9"
01136.mp4,0.81,0.66,0,0,0,-1,0,0,-1,0,-1,"1,2"
01137.mp4,0.76,0.82,0,0,0,-1,0,0,0,0,-1,"1,2"
01139.mp4,0.79,0.78,0,0,-1,-1,0,0,-1,0,0,"1,2"
01140.mp4,0,0,0,0.84,0,0,0.75,-1,0,0,0,"4,7"
01141.mp4,0,0,0,0,-1,-1,0,0,0.83,0.75,-1,"9,10"
01146.mp4,0.83,0.64,0,0,0,0,-1,-1,-1,0,0,"1,2"
01153.mp4,0,0,0,0,-1,0.85,0,0,0,-1,0.7,"6,11"
01156.mp4,0,0,0,0.81,0,0,0.62,-1,0,0,0,"4,7"
01161.mp4,0,0.76,0,-1,0,0,-1,0.83,-1,0,0,"2,8"
01169.mp4,0,-1,0,0.7,-1,0,-1,0.74,0,0,0,"4,8"
01171.mp4,0,-1,0,0.79,-1,0,0,0.74,0,0,0,"4,8"
01175.mp4,0.87,0,0,0,0,0.8,-1,-1,-1,0,-1,"1,6"
01177.mp4,0,-1,-1,-1,-1,0.76,0,0,0,-1,0.73,"6,11"
01188.mp4,0,0,0.84,0,-1,-1,0.73,0,-1,0,0,"3,7"
01190.mp4,0.8,0.78,0,0,-1,0,0,-1,-1,0,0,"1,2"
01191.mp4,0,-1,0,0.83,-1,0,-1,0.7,0,0,0,"4,8"
01196.mp4,0,0,-1,0,-1,0.8,0,0,0,-1,0.63,"6,11"
01204.mp4,0.7,0.64,0,0,-1,0,-1,0.8,0,0,0,"1,2,8"
01209.mp4,0.82,0.62,0,0,0,0,-1,-1,-1,0,0,"1,2"
01213.mp4,0.74,0.68,-1,0,-1,0,-1,-1,0,0,0,"1,2"
01214.mp4,0.79,0.76,-1,0,0,0,0,0,0,0,0,"1,2"
01227.mp4,0,0,0.73,0,0,0,0.8,0,-1,0,0,"3,7"
01232.mp4,0.7,0.83,0,0,-1,0,-1,-1,0,0,-1,"1,2"
01233.mp4,0.68,-1,0,0,-1,-1,-1,0,0.75,0,-1,"1,9"
01234.mp4,-1,0,-1,0,0,0.79,0,0,0.78,-1,-1,"6,9"
01271.mp4,0,0,0,0.85,0,0,0.7,0,0,0,0,"4,7"
01274.mp4,0,0,0,0.88,0,0,0.58,-1,0,0,0,"4,7"
01276.mp4,0,0,0,0.91,0,0,0.56,0,0,0,0,"4,7"
01281.mp4,0.81,0.73,0,0,0,0,0,-1,0,-1,0,"1,2"
01284.mp4,0,-1,0.69,0,0,0,0,-1,0.76,-1,0,"3,9"
01290.mp4,0,0.76,-1,-1,0,-1,0.77,-1,0,0,0,"2,7"
01294.mp4,0.9,0.72,0,0,0,0,-1,-1,-1,0,0,"1,2"
01295.mp4,0,-1,0.82,0,0,0,0.76,-1,0,0,0,"3,7"
01297.mp4,0.83,0.76,0,0,-1,0,0,-1,-1,-1,-1,"1,2"
01302.mp4,0.89,0.66,0,0,0,0,0,-1,0,0,0,"1,2"
01303.mp4,0.79,0.79,0,0,0,-1,0,-1,0,-1,-1,"1,2"
01312.mp4,0,0,-1,0.86,0,0,0.7,-1,-1,-1,0,"4,7"
01314.mp4,0,-1,-1,0,0,0.75,0,0,0.72,-1,0,"6,9"
01320.mp4,0,-1,0,0,-1,0.79,0,-1,-1,0.73,-1,"6,10"
01321.mp4,0,0,0,0,-1,0.76,0,0,-1,0.7,0.67,"6,10,11"
01326.mp4,0,-1,0.78,0,0,0,-1,-1,0.68,-1,0,"3,9"
01333.mp4,0,0,0,0.82,0,0,0.71,-1,0,0,0,"4,7"
01336.mp4,0.75,0.69,0,0,-1,0,0,-1,-1,0,0,"1,2"
01360.mp4,0,0,0,0.82,-1,0,0.65,-1,0,0,0,"4,7"
01361.mp4,-1,0.69,0,0,-1,0,0,0.67,0,0,0,"2,8"
01389.mp4,0.67,0.78,-1,0,-1,0,-1,-1,-1,0,0,"1,2"
01391.mp4,0.77,0.64,0,0,0,0,-1,-1,0,0,0,"1,2"
01401.mp4,0,0.73,0,0,-1,0,0,0.65,0,-1,-1,"2,8"
01402.mp4,0,-1,0,0.83,-1,0,-1,0.74,0,0,-1,"4,8"
01404.mp4,-1,0.62,0,0,-1,0,0,0.6,0,0,0,"2,8"
01421.mp4,0,-1,0,-1,-1,0.76,-1,0,0,-1,0.73,"6,11"
01439.mp4,0,0,0,0,-1,0.83,0,-1,-1,0.68,0,"6,10"
01442.mp4,0,0,0,0,-1,0.82,-1,0,-1,-1,0.5,"6,11"
01449.mp4,0,0,0,0,-1,0.81,0,-1,-1,0.72,-1,"6,10"
01451.mp4,0,0,0,0.8,0,0,0.7,0,0,0,0,"4,7"
01455.mp4,0.72,0.66,0,0,-1,-1,0,-1,0,0,0,"1,2"
01456.mp4,0.8,0.62,0,0,0,0,-1,-1,-1,0,0,"1,2"
01463.mp4,-1,0.75,0,0,-1,0,0,0.7,-1,0,-1,"2,8"
01469.mp4,0,0,0.69,0,0,0,0.77,0,0,0,0,"3,7"
01470.mp4,0,-1,0.6,0,0,0,0.71,-1,0,-1,0,"3,7"
01471.mp4,0,0,0.77,0,-1,-1,0,0,0.77,-1,0,"3,9"
01473.mp4,0,0.88,-1,0,0,0.75,-1,-1,0,-1,-1,"2,6"
01475.mp4,-1,0.81,0,0,0,0,0,0.6,-1,-1,-1,"2,8"
01478.mp4,0,0,0,0.82,-1,0,0.63,-1,0,0,0,"4,7"
01492.mp4,0,0,0,0,-1,0.7,0,0,-1,0.55,-1,"6,10"
01497.mp4,0.81,0.69,0,0,-1,0,0,0,0,0,-1,"1,2"
01511.mp4,0,0,0,0.87,0,0,0.6,0,0,0,0,"4,7"
01543.mp4,0,0,0.73,0,0,0.82,0,0,0,-1,0,"3,6"
01551.mp4,0.62,0.66,-1,0,0,0,0,-1,-1,0,0,"1,2"
01557.mp4,0,-1,-1,0,0,0.7,0,-1,-1,0.7,0,"6,10"
01566.mp4,0,0,0,0.84,0,0,0.63,-1,0,-1,-1,"4,7"
01607.mp4,0,0,0.8,0,0,0.85,-1,0,0.78,-1,0,"3,6,9"
01613.mp4,0.68,0.51,0,0,-1,0,0,0,-1,-1,0,"1,2"
01647.mp4,-1,0.62,0,-1,-1,0,0,0.67,0,0,0,"2,8"
01651.mp4,0,0,-1,0,-1,0.76,-1,0,-1,0.65,-1,"6,10"
01665.mp4,0,-1,-1,0,-1,0.72,0,0,-1,0.72,0,"6,10"
01667.mp4,0.8,0.72,0,0,-1,0,-1,-1,0,0,0,"1,2"
01675.mp4,0,0,-1,0,-1,0.81,0,0,-1,0.65,-1,"6,10"
01677.mp4,0,0.72,-1,0,-1,0,0,0.7,0,0,0,"2,8"
01694.mp4,0.86,0.61,0,0,0,-1,0,-1,0,0,0,"1,2"
01695.mp4,0.74,0.63,0,0,-1,0,0,-1,0,0,0,"1,2"
01728.mp4,0,0,0,0.81,0,0,0.6,-1,0,0,0,"4,7"
01729.mp4,0.75,0.72,0,0,0,0,-1,-1,0,-1,0,"1,2"
01738.mp4,0,0,-1,0,0,0.78,0,-1,0,0.65,-1,"6,10"
01742.mp4,0.78,0.72,0,0,0,0,-1,-1,0,0,0,"1,2"
01766.mp4,0,0,-1,0,0,0.75,0,0,0.65,-1,0,"6,9"
01768.mp4,0.73,0.72,-1,0,0,-1,0,-1,0,0,0,"1,2"
01775.mp4,0.74,0.62,0,0,0,-1,0,-1,-1,0,-1,"1,2"
01786.mp4,0.72,0.56,0,0,-1,0,0,0,0,-1,-1,"1,2"
01792.mp4,0.68,0.54,0,0,-1,-1,0,-1,0,0,0,"1,2"
01795.mp4,-1,0.63,0,-1,-1,0,-1,0.6,0,0,-1,"2,8"
01828.mp4,0.8,0.75,0,-1,0,0,-1,0,0,0,0,"1,2"
01835.mp4,0,-1,-1,0,-1,0.85,-1,-1,-1,0.7,-1,"6,10"
01837.mp4,0.8,0.68,0,0,0,0,0,-1,-1,0,0,"1,2"
01839.mp4,0,-1,0,0.87,0,0,-1,0.68,0,-1,0,"4,8"
01840.mp4,0,-1,-1,0,0,-1,0.8,0,0.72,-1,0,"7,9"
01842.mp4,-1,-1,0,0,-1,0.78,0,0,-1,0.7,0,"6,10"
01883.mp4,0,0,0,-1,-1,0.8,0,-1,0,0.53,-1,"6,10"
01885.mp4,-1,0,0,0,0,0.87,0,-1,0,0.62,0,"6,10"
01934.mp4,0.77,0.68,0,0,0,-1,0,-1,0,0,0,"1,2"
01937.mp4,0,0,0.73,-1,0,-1,-1,-1,0.74,0,0,"3,9"
01940.mp4,-1,0.66,0,0,-1,0,-1,-1,0.73,0,-1,"2,9"
01943.mp4,-1,0,0.7,0,0,-1,0,0,0.65,-1,0,"3,9"
01945.mp4,-1,-1,0.7,0,0,-1,-1,0,0.73,-1,0,"3,9"
01960.mp4,0,0,-1,0,-1,0.77,0,-1,0.78,-1,0,"6,9"
01988.mp4,0.79,0.68,0,0,0,0,0,-1,0,0,-1,"1,2"
01991.mp4,0,0,-1,0,-1,0,0.77,0,0.68,0,0,"7,9"
01997.mp4,0.75,0.66,0,0,-1,0,0,-1,-1,0,0,"1,2"
02002.mp4,0,0,0,0.85,0,0,0.56,-1,0,0,0,"4,7"
02003.mp4,0,0,0,0,0,0.94,0,-1,-1,0.55,-1,"6,10"
02008.mp4,0,0,-1,0,0,0.84,0,0,-1,0.5,0,"6,10"
02010.mp4,-1,0.68,0,0,-1,0.84,0,-1,0,0,0,"2,6"
02018.mp4,0,0,0.71,0,0,0,0.79,-1,-1,-1,0,"3,7"
02020.mp4,0,0,-1,0.71,-1,0,0.69,0,0,0,0,"4,7"
02044.mp4,0.85,0.59,0,0,0,0,-1,0,0,0,0,"1,2"
02048.mp4,0,0,0.52,0,0,-1,0.89,-1,-1,0,0,"3,7"
